Epoch     train_loss     test_loss      precision      recall         f1_score       accracy        
0         1.069          0.807          0.565          0.557          0.512          54.557         
1         0.752          0.762          0.677          0.645          0.633          63.151         
2         0.696          0.687          0.693          0.642          0.612          62.891         
3         0.658          0.735          0.698          0.656          0.633          64.193         
4         0.650          0.667          0.752          0.743          0.741          72.786         
5         0.575          0.567          0.780          0.755          0.750          73.958         
6         0.643          0.597          0.746          0.729          0.726          71.354         
7         0.596          0.676          0.713          0.672          0.652          65.755         
8         0.521          0.467          0.821          0.806          0.804          78.906         
9         0.459          0.440          0.804          0.797          0.795          77.995         
10        0.460          0.607          0.774          0.726          0.719          71.094         
11        0.476          0.405          0.836          0.819          0.817          80.208         
12        0.407          0.492          0.796          0.779          0.774          76.302         
13        0.391          0.405          0.830          0.823          0.822          80.599         
14        0.358          0.449          0.811          0.806          0.805          78.906         
15        0.385          0.409          0.854          0.830          0.826          81.250         
16        0.369          0.356          0.847          0.843          0.843          82.552         
17        0.307          0.363          0.864          0.852          0.851          83.464         
18        0.327          0.477          0.819          0.802          0.794          78.516         
19        0.333          0.456          0.871          0.848          0.845          83.073         
20        0.298          0.275          0.909          0.908          0.908          88.932         
21        0.306          0.507          0.812          0.783          0.775          76.693         
22        0.309          0.308          0.873          0.867          0.866          84.896         
23        0.256          0.301          0.892          0.883          0.882          86.458         
24        0.356          0.519          0.836          0.789          0.787          77.214         
25        0.294          0.208          0.927          0.926          0.925          90.625         
26        0.243          0.341          0.896          0.878          0.875          85.938         
27        0.249          0.236          0.916          0.910          0.909          89.062         
28        0.231          0.259          0.915          0.910          0.909          89.062         
29        0.204          0.282          0.904          0.896          0.895          87.760         
30        0.213          0.326          0.889          0.868          0.865          85.026         
31        0.282          0.219          0.912          0.907          0.905          88.802         
32        0.233          0.260          0.907          0.906          0.905          88.672         
33        0.238          0.219          0.908          0.906          0.906          88.672         
34        0.205          0.204          0.926          0.920          0.920          90.104         
35        0.206          0.279          0.903          0.894          0.893          87.500         
36        0.188          0.182          0.927          0.924          0.924          90.495         
37        0.202          0.248          0.919          0.911          0.910          89.193         
38        0.182          0.233          0.914          0.904          0.903          88.542         
39        0.195          0.249          0.902          0.899          0.898          88.021         
40        0.190          0.195          0.921          0.916          0.916          89.714         
41        0.168          0.233          0.917          0.912          0.912          89.323         
42        0.161          0.238          0.923          0.920          0.920          90.104         
43        0.165          0.186          0.941          0.938          0.937          91.797         
44        0.156          0.238          0.917          0.911          0.910          89.193         
45        0.176          0.186          0.925          0.923          0.923          90.365         
46        0.155          0.222          0.910          0.902          0.901          88.281         
47        0.188          0.248          0.931          0.930          0.929          91.016         
48        0.195          0.187          0.945          0.941          0.941          92.188         
49        0.180          0.176          0.933          0.930          0.929          91.016         
50        0.157          0.169          0.945          0.941          0.941          92.188         
51        0.156          0.343          0.924          0.920          0.920          90.104         
52        0.165          0.189          0.936          0.924          0.923          90.495         
53        0.182          0.212          0.922          0.916          0.916          89.714         
54        0.153          0.182          0.933          0.928          0.928          90.885         
55        0.154          0.280          0.922          0.914          0.913          89.453         
56        0.164          0.125          0.951          0.949          0.949          92.969         
57        0.167          0.141          0.949          0.944          0.944          92.448         
58        0.133          0.164          0.941          0.938          0.937          91.797         
59        0.113          0.210          0.918          0.907          0.905          88.802         
60        0.133          0.138          0.945          0.943          0.943          92.318         
61        0.151          0.170          0.947          0.944          0.944          92.448         
62        0.141          0.143          0.948          0.947          0.947          92.708         
63        0.184          0.177          0.934          0.927          0.926          90.755         
64        0.136          0.206          0.928          0.924          0.924          90.495         
65        0.123          0.130          0.958          0.957          0.957          93.750         
66        0.147          0.157          0.954          0.953          0.954          93.359         
67        0.109          0.206          0.944          0.939          0.939          91.927         
68        0.114          0.471          0.926          0.918          0.917          89.844         
69        0.181          0.127          0.960          0.959          0.959          93.880         
70        0.111          0.139          0.960          0.959          0.959          93.880         
71        0.104          0.127          0.948          0.947          0.947          92.708         
72        0.116          0.217          0.929          0.922          0.921          90.234         
73        0.139          0.135          0.951          0.949          0.949          92.969         
74        0.142          0.134          0.966          0.965          0.965          94.531         
75        0.081          0.284          0.929          0.924          0.925          90.495         
76        0.135          0.145          0.946          0.943          0.943          92.318         
77        0.123          0.108          0.958          0.957          0.957          93.750         
78        0.125          0.158          0.948          0.947          0.947          92.708         
79        0.119          0.145          0.942          0.939          0.939          91.927         
80        0.268          0.249          0.922          0.915          0.915          89.583         
81        0.184          0.162          0.943          0.940          0.940          92.057         
82        0.123          0.090          0.966          0.965          0.965          94.531         
83        0.106          0.157          0.952          0.951          0.951          93.099         
84        0.153          0.215          0.943          0.934          0.933          91.406         
85        0.102          0.124          0.970          0.969          0.969          94.922         
86        0.096          0.151          0.958          0.957          0.957          93.750         
87        0.117          0.155          0.964          0.963          0.963          94.271         
88        0.084          0.152          0.954          0.953          0.953          93.359         
89        0.130          0.152          0.948          0.947          0.947          92.708         
90        0.113          0.151          0.959          0.957          0.957          93.750         
91        0.111          0.115          0.959          0.959          0.959          93.880         
92        0.135          0.265          0.919          0.908          0.908          88.932         
93        0.130          0.132          0.953          0.951          0.951          93.099         
94        0.100          0.184          0.947          0.945          0.945          92.578         
95        0.113          0.083          0.969          0.968          0.968          94.792         
96        0.070          0.099          0.966          0.965          0.965          94.531         
97        0.099          0.089          0.959          0.957          0.957          93.750         
98        0.100          0.135          0.947          0.944          0.944          92.448         
99        0.072          0.093          0.960          0.959          0.959          93.880         
